0,SansAnimation,,,,,,322,308,
0,sansX,800,,,,,,,
0,damageplayer,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,BoneStab,1,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,20,-24,360,25,,,,
1.1,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
3,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,BlackScreen,1,,,,,,,
0.1,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,BlackScreen,0,,,,,,,
0.1,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,sansX,322,,,,,,,
0,SansHead,closedeyes,,,,,,,
0,BlackScreen,1,,,,,,,
0.1,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,BlackScreen,0,,,,,,,
0.1,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,BlackScreen,1,,,,,,,
0.1,,,,,,,,,
0,Sound,Flash,1,,,,,,
0.1,,,,,,,,,
0,BlackScreen,0,,,,,,,
0,SansHead,Default,,,,,,,
0.3,,,,,,,,,
0,CombatZoneResize,240,226,406,391,,,,
0,HeartTelePort,325,308,,,,,,
0.3,,,,,,,,,
0,GasterBlaster,2,0,0,322,180,90,0.1,0.1
0,GasterBlaster,2,0,0,180,308,0,0.1,0.1
0,GasterBlaster,0,0,0,180,236,0,0.1,0.1
0,GasterBlaster,0,0,0,180,381,0,0.1,0.1
0,GasterBlaster,0,0,0,250,180,90,0.1,0.1
0,GasterBlaster,0,0,0,396,180,90,0.1,0.1
0.34,,,,,,,,,
0,GasterBlaster,0,0,0,322,180,90,0.1,0.1
0,GasterBlaster,0,0,0,180,308,0,0.1,0.1
0,GasterBlaster,2,0,0,180,236,0,0.1,0.1
0,GasterBlaster,2,0,0,180,381,0,0.1,0.1
0,GasterBlaster,2,0,0,250,180,90,0.1,0.1
0,GasterBlaster,2,0,0,396,180,90,0.1,0.1
0.34,,,,,,,,,
0,GasterBlaster,2,0,480,170,356,0,0.1,0.1
0,GasterBlaster,2,640,0,460,256,180,0.1,0.1
0,GasterBlaster,2,0,0,269,166,90,0.1,0.1
0,GasterBlaster,2,640,480,379,460,-90,0.1,0.1
0.34,,,,,,,,,
0,GasterBlaster,2,640,0,379,166,90,0.1,0.1
0,GasterBlaster,2,0,0,259,166,90,0.1,0.1
